Imaginary,Real
10,0
0,6
21536,2048
4163,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
219,0
11385,-13084
1,0
1,0
0,0
10,0
0,6
21536,2048
3787,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
220,0
9572,-12321
1,0
1,0
0,0
10,0
0,6
21536,2048
4774,1
13179,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
221,0
4297,-11558
1,0
1,0
0,0
10,0
0,6
21536,2048
4559,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
222,0
-350,-10796
1,0
1,0
0,0
10,0
0,6
21536,2048
4161,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
223,0
-4261,-10033
1,0
1,0
0,0
10,0
0,6
21536,2048
4020,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
224,0
-7655,-9270
1,0
1,0
0,0
10,0
0,6
21536,2048
4594,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
225,0
-13105,-8507
1,0
1,0
0,0
10,0
0,6
21536,2048
3208,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
226,0
-16201,-7744
1,0
1,0
0,0
10,0
0,6
21536,2048
3982,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
227,0
-18311,-6981
1,0
1,0
0,0
10,0
0,6
21536,2048
4596,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
228,0
-24151,-6218
1,0
1,0
0,0
10,0
0,6
21536,2048
3882,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
229,0
2365,-5454
2,0
1,0
0,0
10,0
0,6
21536,2048
24196,1
22020,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
230,0
-5722,-4692
2,0
1,0
0,0
10,0
0,6
21536,2048
21532,1
21025,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
231,0
31502,-3929
1,0
1,0
0,0
10,0
0,6
-18587,-17841
-26884,-17835
0,0
0,16368
258,772
1286,1800
512,774
64,6
26691,10
232,0
-10781,-3166
2,0
1,0
0,0
10,0
0,6
21536,2048
24736,1
21029,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
233,0
22298,-2403
1,0
1,0
0,0
10,0
0,6
21536,2048
4309,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
234,0
17779,-1640
1,0
1,0
0,0
10,0
0,6
21536,2048
3942,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
235,0
16485,-877
1,0
1,0
0,0
10,0
0,6
21536,2048
6920,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
236,0
11901,-114
1,0
1,0
0,0
10,0
0,6
-18587,-17841
-26884,-17835
0,0
0,16368
258,772
1286,1800
512,774
64,6
26691,10
237,0
-22945,649
3,0
1,0
0,0
10,0
0,6
21536,2048
31741,1
21021,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
238,0
31997,1412
2,0
1,0
0,0
10,0
0,6
21536,2048
23532,1
21970,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
239,0
-1567,2174
1,0
1,0
0,0
10,0
0,6
21536,2048
4251,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
240,0
22426,2938
2,0
1,0
0,0
10,0
0,6
21536,2048
23473,1
21713,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
241,0
18528,3701
2,0
1,0
0,0
10,0
0,6
21536,2048
23861,1
21703,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
242,0
14247,4464
2,0
1,0
0,0
10,0
0,6
21536,2048
22467,1
22672,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
243,0
-18271,5226
1,0
1,0
0,0
10,0
0,6
21536,2048
3544,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
244,0
6711,5990
2,0
1,0
0,0
10,0
0,6
21536,2048
23633,1
21697,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
245,0
3408,6753
2,0
1,0
0,0
10,0
0,6
21536,2048
24218,1
21700,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
246,0
-565,7515
2,0
1,0
0,0
10,0
0,6
21536,2048
24078,1
21685,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
247,0
-4990,8278
2,0
1,0
0,0
10,0
0,6
21536,2048
23624,1
21700,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
248,0
-7557,9041
2,0
1,0
0,0
10,0
0,6
21536,2048
25214,1
21611,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
249,0
25719,9804
1,0
1,0
0,0
10,0
0,6
-18587,-17841
-26884,-17835
0,0
0,16368
258,772
1286,1800
512,774
64,6
26691,10
250,0
-12276,10567
2,0
1,0
0,0
10,0
0,6
21536,2048
25110,1
21812,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
251,0
16428,11330
1,0
1,0
0,0
10,0
0,6
21536,2048
4087,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
252,0
11772,12093
1,0
1,0
0,0
10,0
0,6
21536,2048
3540,1
13182,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
253,0
7491,12856
1,0
1,0
0,0
10,0
0,6
21536,2048
3529,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
254,0
3049,13619
1,0
1,0
0,0
10,0
0,6
21536,2048
3259,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
255,0
-1182,14381
1,0
1,0
0,0
10,0
0,6
21536,2048
2996,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
256,0
-5092,15144
1,0
1,0
0,0
10,0
0,6
21536,2048
3075,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
257,0
-9017,15907
1,0
1,0
0,0
10,0
0,6
21536,2048
3104,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
258,0
-12989,16670
1,0
1,0
0,0
10,0
0,6
21536,2048
3093,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
259,0
-16286,17433
1,0
1,0
0,0
10,0
0,6
21536,2048
3866,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
260,0
-20645,18196
1,0
1,0
0,0
10,0
0,6
21536,2048
3380,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
261,0
-24358,18959
1,0
1,0
0,0
10,0
0,6
21536,2048
3642,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
262,0
-23909,19722
1,0
1,0
0,0
10,0
0,6
21536,2048
4897,1
13186,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
263,0
-2416,20485
2,0
1,0
0,0
10,0
0,6
21536,2048
24654,1
21033,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
264,0
-4590,21248
2,0
1,0
0,0
10,0
0,6
21536,2048
26010,1
21706,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
265,0
-4044,22011
3,0
1,0
0,0
10,0
0,6
21536,2048
30752,1
21711,0
3,0
258,772
1286,1800
512,774
64,6
26691,10
266,0
24407,22774
1,0
1,0
0,0
10,0
0,6
21536,2048
5104,1
13173,0
1,0
258,772
1286,1800
512,774
64,6
26691,10
267,0
-15785,23537
2,0
1,0
0,0
10,0
0,6
21536,2048
25487,1
21886,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
268,0
2644,24301
5,0
1,0
0,0
10,0
0,6
21536,2048
-16628,1
21021,0
5,0
258,772
1286,1800
512,774
64,6
26691,10
269,0
3311,25064
4,0
1,0
0,0
10,0
0,6
21536,2048
-14981,1
21812,0
4,0
258,772
1286,1800
512,774
64,6
26691,10
270,0
-26600,25826
2,0
1,0
0,0
10,0
0,6
21536,2048
25355,1
21798,0
2,0
258,772
1286,1800
512,774
64,6
26691,10
271,0
-30854,26589
2,0
1,0
0,0
10,0
0,6
21536,2048
25373,1
21854,0
2,0
